"PERGUNTA";"IMAGEM PERGUNTA";"ALTERNATIVAS";"RESPOSTA CORRETA";"IMAGEM RESPOSTA";"CATEGORIA DA PERGUNTA";"SETOR";"RESPONSÁVEL";"DATA_HORA";"ID"
Nesta foto está retratada qual NC?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 01 - 5010275409 106.054-2 RVT27 Rebarba na rosca..jpg;"Não apresenta NC;
Cavaco na rosca;
Rebarba na rosca;
 Ausência de usinagem;
Ressalto na rosca";Rebarba na rosca;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;1
O que é possível observar nesta imagem?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 02 - 5010280511 109.947-1 RZM58 Ausência do ápice.jpg;"Rebarba no ápice;
Ausência de usinagem;
A peça está dentro do especificado;
Mancha externa";Ausência de usinagem;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;2
Nesta imagem é possível observar que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 03 - 5010283632 109.985-1 THK73 Ausência da câmara..jpg;"Não apresenta nenhuma Não Conformidade;
Rebarba externa;
Ausência de câmara;
Ausência de rosca";Ausência de câmara;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;3
O que é possível observar nesta imagem do implante?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 04 - 5010283628 109.979-1 THK69 Ausência de rosca interna.jpg;"Rebarba interna;
A peça está dentro do especificado;
Ausência da rosca interna;
Ausência do pré-furo";Ausência da rosca interna;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;4
Quais são as diferenças entre a peça A e a peça B?;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Desenho técnico parafuso.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Somente Parafuso .jpg";"Tanto a peça A e a peça B estão OK;
Peça A está NOK  e a Peça B está OK;
Peça B está NOK  e a Peça A está OK;
As duas peças estão NOK";Peça B está NOK  e a Peça A está OK;-;INSPEÇÃO VISUAL;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;5
A conclusão deste relatório dimensional é:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 06 - 318386 COTA 43 MAIOR relatorio dimensional_x2 .jpg;"Todas as medidas estão de acordo;
A bolagem 43 está maior que o especificado;
A bolagem 43 está menor que o especificado;
A bolagem 38 está maior que o especificado;
A bolagem 38 está menor que o especificado";A bolagem 43 está maior que o especificado;-;DESENHO TÉCNICO;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;6
Foi realizado a tentativa da adptação entre o implante e o componente. Qual é o motivo da adaptação incorreta?;"\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\Implante HE desenho tecnico.jpg;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 07 - Hexágono externo maior 5010335387 - 109.585-1 - XFM54.jpg";"O hexágono externo do implante está menor;
Desgaste do componente;
O hexágono externo do implante está maior;
Não apresenta não conformidade a peça está OK";O hexágono externo do implante está maior;-;INSPEÇÃO ATRIBUTIVA;"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;7
O que pode-se concluir desta imagem?;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 08 - Bancada com 4 ordens simultaneas.jpg;"A bancada está OK;
O microscópio não está na posição correta;
Apresenta 4 ordens na mesma bancada, podendo gerar mistura de peça;
Nenhuma das alternativas";Apresenta 4 ordens na mesma bancada, podendo gerar mistura de peça;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;8
Pode-se concluir que:;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 09 - Bancada OK.jpg;"A bancada está bem identificada e organizada;
Tudo está errrado nesta distribuição da bancada;
O microscópio está no lugar errado;
Nenhuma das alternativas";A bancada está bem identificada e organizada;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;9
Na situação abaixo não foi colocado o número do gabarito na ordem de produção;\\straumann.com\public\br03\pcoudir\Controle de Qualidade\01. 4400\07. CQ USI\01. Auditoria de Qualidade\04 - Lucas\001 - Projeto Formulário Avaliação\Fotos da avaliação\Perguntas\ID 10 - Sem a identificação do gabarito.jpg;"Não é necessário colocar o número do gabarito;
A operação seguinte irá preencher;
É um problema e precisa estar escrito o número do gabarito na ordem na minha operação;
Tanto faz, isto não é importante";É um problema e precisa estar escrito o número do gabarito na ordem na minha operação;-;MISTURA DE PEÇA (LIRS);"CQ_USI ; USINAGEM_CNC";Lucas Danielak - u124688;2023-07-17 00:00:00.000;10
